Name,Emission from Bioenergy (gCO2/h),Emission from Coal (gCO2/h),Emission from Gas (gCO2/h),Emission from Hydro (gCO2/h),Emission from Nuclear (gCO2/h),Emission from Oil (gCO2/h),Emission from Solar (gCO2/h),Emission from Wind (gCO2/h),Total (gCO2/h)
Pleiades,11321.573198714941,574296.3891693436,915833.5217989901,5823.767966957312,9650.065167508026,20536.025699862297,11854.638641578698,5071.926434144101,1554387.9080770991
Narval (GPU),1005.4100236257649,12991.822466530153,21890.259845644974,4297.525075444952,522.8563376909748,767.436194676323,175.95165474877805,214.72041423846247,41865.98201260038
Sawtooth,3678.8048151939633,186610.48996834585,297588.7459079088,1892.3611819112482,3135.6690083665744,6672.926889540006,3852.0178204539816,1648.0595992045276,505079.0751909249
COBRA,34283.20885912953,359483.6367598407,120619.26741813427,1514.283563462033,340.0919194120323,39120.28764436695,9570.769626973593,5113.800243665682,570045.3460349848
,581.3566028351122,124615.01428216149,68308.96503357372,123.71726720431985,295.6962219774752,2480.3220236614798,811.0354183394317,66.01118076526775,197282.1180305183
Shaheen II,0.0,0.0,870387.7618067368,0.0,0.0,611420.1967548252,1389.4619275241616,111.75412902111138,1483309.1746181073
Grete,4311.506670100436,45209.189841320156,15169.25612630995,190.43852374254632,42.77045900275357,4919.824798431029,1203.6340371243487,643.1190251391668,71689.73948117039
Electra,4330.636620891703,219675.2103731422,350317.2322900412,2227.660625127967,3691.26488650404,7855.274473117511,4534.540503124225,1940.0722822395587,594571.8920541885
Snellius Phase 2 CPU,12411.809250920991,45323.54482194019,147757.7650429799,9.41923864101438,313.974621367171,20290.609905853416,6640.563241915677,2179.2128121162505,234926.8989357346
MAHTI,34122.332164328654,17363.376753506986,3480.4483967935807,4860.030060120239,5455.070140280561,18896.543086172318,418.136272545087,2254.786447895791,86850.72332164322
Pangea,17637.762346579515,14297.484974032659,124317.56822469886,10304.650755674847,32513.21701581373,47028.651455913925,9012.452587967544,4512.482250880161,259624.2696115612
"DiRAC, Tursa",6471.337098367916,2767.2436539575365,40940.77638079662,104.33269958090533,411.84485331697834,6268.938975774301,539.0190330164561,788.2222409622132,58291.71493577293
TX-GAIA (Green AI Accelerator),3689.0808062978576,187131.74832021273,298419.9993880985,1897.6471070003859,3144.4278603452517,6691.566350125314,3862.777646768099,1652.66311763806,506489.9105964862
Dhabi Supercomputer,,,,,,,,,0.0
Athena,1624.0150755555528,73368.06627555555,6277.110518518519,49.60893155555554,0.0,2694.0984888888856,510.26329599999974,230.3184971851851,84753.48108325925
Cheyenne,4436.659159106127,225053.29341852883,358893.69007189834,2282.1981572351438,3781.634341794046,8047.5871077064185,4645.55501112013,1987.5690836775275,609128.1863510667
Derecho GPU partition,434.23769407279025,22027.074804015014,35126.6939391158,223.36997945423064,370.12718748896793,787.6570056836225,454.6833604688104,194.53318020498693,59618.37715050423
JEDI,1411.377852176152,14799.292715782802,4965.677608510469,62.340322114146446,14.000970700687397,1610.5116583133577,394.0113171814022,210.52592929733154,23467.73837407635
Wisteria/BDEC-01 (Aquarius),2055.277240481097,48724.073459561325,29601.13172637665,321.3906846503732,168.64408876084082,3729.3776085090344,952.6300385787999,19.054306666929772,85571.57915358506
Atlas,9469.311881993324,10802.998351047385,14330.4235564654,7932.775088476963,133.4452867438793,4993.851874702016,1902.6299739196256,843.8122855380124,50409.2482988866
Advanced Computing System(PreE),1728.211264970253,189126.01032391467,6054.714844935134,1200.4696186621197,209.55698925640542,1772.0176032999216,1126.3591762433664,409.240981903021,201626.5808031849
CRONOS,5208.579973157492,4222.16789403042,36712.026358172334,3043.0502748439026,9601.427192624145,13887.957402112335,2661.4532578630997,1332.5740657641359,76669.23641856787
SNL/NNSA CTS-1 Manzano,2466.2378649345005,125102.00444805308,199500.83524552544,1268.6220213930155,2102.12447488262,4473.470540473748,2582.358315388144,1104.844424047728,338600.4973346983
Noctua 2,18216.021323718767,191007.8376750728,64089.77515402445,804.5985950593312,180.7042532538281,20786.152102854645,5085.327465282593,2717.1638065334096,302887.58037579985
JOLIOT-CURIE SKL,3897.3079691116654,3159.2274026958908,27469.689171578037,2276.955359747912,7184.245783976191,10391.632140981463,1991.426270642467,997.0954756764115,57367.57957441005
Abel,4624.195996752189,234566.25834009954,374064.06608536013,2378.6662901119043,3941.483390404912,8387.757263388276,4841.921841352771,2071.5832950894896,634875.9325025592
Alex,3752.7008498583555,39349.71649596862,13203.198954020483,165.75616474177372,37.22706471998252,4282.176073218565,1047.6334190455436,559.7656450207016,62398.17466659402
Deucalion,6943.709737076641,0.0,43382.5212121212,2144.388128342246,0.0,6444.882352941165,1785.0371122994634,1238.076547459893,61938.61509024061
,50322.83624655013,21518.821711131488,318366.3521619135,811.3187856485715,3202.6149770009197,48748.934682612686,4191.555179392817,6129.425519779207,453291.85926402936
,50322.83624655013,21518.821711131488,318366.3521619135,811.3187856485715,3202.6149770009197,48748.934682612686,4191.555179392817,6129.425519779207,453291.85926402936
Gemini,4972.177010011496,5672.473428867867,7524.665301887318,4165.367284556492,70.06988418071163,2622.187946941854,999.0391205586235,443.0716929807339,26469.0516699851
CLAIX-2023 (GPU segment),3266.0260623229447,34246.58792765308,11490.92176944868,144.25982131183258,32.39921551536278,3726.835476138591,911.7694661146218,487.1715755066462,54305.97131401177
Pratyush,6217.266324000197,834793.6207917068,17278.764599827195,2462.178570455815,397.6552895980476,1633.860704304011,3743.3564136389023,649.2464578992829,867175.9491514303
Snellius Phase 1 GPU,3189.943716741709,11648.548096602526,37975.04011461317,2.420826852230667,80.6942284076953,5214.864510847308,1706.6829308227589,560.0767846909537,60378.27120957835
Niagara,2970.990820601661,38390.88967081427,64685.8093054024,12699.204553787997,1545.04266246653,2267.7771617577455,519.9378749409318,634.4997212159386,123714.15177098749
Fritz,14090.084316250319,147744.47669327838,49573.41231006953,622.356652073139,139.77465876899288,16078.07932011331,3933.498511460211,2101.7249845480296,234283.4074465619
,3850.670766406587,195328.53590331957,311491.4603640813,1980.768279027074,3282.160807709957,6984.671867829271,4031.9759155575935,1725.0534450053535,528675.2973489368
,3850.670766406587,195328.53590331957,311491.4603640813,1980.768279027074,3282.160807709957,6984.671867829271,4031.9759155575935,1725.0534450053535,528675.2973489368
Anvil,2034.6462385709629,103209.15366964378,164588.18907755846,1046.6131676492378,1734.252691778161,3690.613195890842,2130.445610195219,911.4966498393757,279345.410301126
Altair,9186.056888888874,414998.1368888889,35505.76296296297,280.6072888888888,0.0,15238.862222222204,2886.2463999999986,1302.7704296296292,479398.44308148144
Forerunner 1,1019.9410345685094,218626.51248800932,119842.30698831133,217.0514911002943,518.7740348882647,4351.515401286084,1422.8931083241541,115.81103865420774,346114.80558514217
ATOS THX.A.B,365.76044037268264,296.4919414133134,2578.0168485343575,213.69114314057285,674.2379412966096,975.2495769387837,186.89437824590044,93.57692108692692,5383.9191910291465
Pegasus,758.3954021173929,17979.138072638652,10922.790247752859,118.59286558593394,62.22951288097791,1376.1368906078844,351.51960375329287,7.0310215488747,31575.833616885866
Cedar (GPU),1001.7262561033205,12944.22113718695,21810.055126791616,4281.7791778232795,520.9406205701684,764.6243502913806,175.30697747676672,213.9336903449359,41712.58733658842
Topaz,13294.563490662542,674377.9927277862,1075434.1899954104,6838.665584071725,11331.764747414121,24114.802132241293,13920.525293889215,5955.801973382284,1825268.305944858
,897.8647227027166,45544.948494369324,72630.7728315741,461.8577046633947,765.3046916369537,1628.6228686412235,940.1398241959962,402.23242312987594,123271.7435609136
Damson,30081.968721251145,12863.514259429581,190312.9346826127,484.9898804047823,1914.4581416743324,29141.122355105796,2505.626494940198,3664.045998160073,270968.6605335786
